,Anthropology.txt
curiesklodowska,2
digging,2
stick,2
olive,2
kiva,2
insulindien,2
le,2
archipel,2
arkheolohiya,2
cape,2
ancient,2
populares,2
asie,2
taloha,2
tebiwa,2
persp,2
perspectives,2
asclepio,2
dafrique,2
voprosy,2
tools,2
archaeometry,2
temenos,2
esp,2
polski,2
tempus,2
sciences,2
tribal,2
bssr,2
puebl,2
arrabona,2
tennessee,2
tenn,2
terrain,2
biblical,2
zimb,2
guat,2
starinar,2
ethnographica,2
socis,2
préhist,2
anthroquest,2
folklife,2
anthropologia,2
ulster,2
tumivut,2
préhistoire,2
antropolgica,2
malawi,2
antropolgicas,2
zborn,2
chil,2
sociologus,2
aymaras,2
jalisco,2
linguistics,2
zambia,2
guatemala,2
lima,2
cienc,2
ciencias,2
invest,2
aborig,2
aboriginal,2
senri,2
suisse,2
education,2
océan,2
educ,2
action,2
today,2
zimbabwea,2
brno,2
uqaqta,2
museumsrlkerkunde,2
sign,2
ber,2
antiqua,2
uomo,2
dev,2
courier,2
unesco,2
records,2
athens,2
botswana,2
borneo,2
boliv,2
musei,2
sectioann,2
phys,2
anthropologica,2
antropologamericana,2
languages,2
yb,2
studii,2
quintum,2
monogr,2
indig,2
yearbook,2
antropologii,2
zagreb,2
cercetari,2
ad,2
praehistorica,2
tribus,2
mex,2
scientiae,2
yaxkin,2
yaglambu,2
monographs,2
cultures,2
cercet,2
hung,2
paper,2
european,2
taal,2
moraviae,2
land,2
en,2
bikmaus,2
palasiatica,1
frühgesch,1
potsdam,1
îsterreichischen,1
gesellschaftr,1
genava,1
etnohr,1
berliner,1
musdart,1
umjetn,1
dhistoire,1
rodopisné,1
umjetnost,1
muvelt,1
montalbmontalb,1
antiquities,1
palasiat,1
vertebr,1
kommission,1
nanzan,1
verîff,1
tvorchist,1
ta,1
vertebrata,1
etnohrafiya,1
præhistorien,1
akademie,1
urgesch,1
muzeumsoucasnost,1
berl,1
frühgeschichte,1
wissenschaften,1
tvorch,1
præhist,1
urgeschichte,1
akademii,1
komm,1
hagyomány,1
vienna,1
soucas,1
muveltshagyomány,1
geneva,1
supplementa,1
gesellschaft,1
archeologija,1
rhodanien,1
alp,1
rhodan,1
lettre,1
dethnomédecine,1
lett,1
ethnom,1
lhomme,1
homme,1
supplement,1
akademijos,1
zbornik,1
darbaiserija,1
darb,1
literatura,1
ludowa,1
ludow,1
traditional,1
lituanisticas,1
lituanistica,1
dzkie,1
etnograficznedz,1
alpin,1
radova,1
makedon,1
soobshcheniyadokladakhpolevykh,1
zpr,1
zpravy,1
present,1
pres,1
prehistory,1
zimbabwean,1
kleine,1
kl,1
anthropologiemorph,1
kratkiye,1
issledovaniyakh,1
belgrade,1
kratk,1
soobshch,1
morphologie,1
ethnologieethnol,1
popullore,1
archæologiearchæol,1
lannsociologique,1
slovrz,1
annsociol,1
zbornslovenskéhorodnéhozea,1
makedonski,1
northeast,1
anthropologischen,1
misc,1
maatschappij,1
maatsch,1
aktualityrod,1
arkheologii,1
midcontinental,1
midcontarchaeol,1
midj,1
miscelánea,1
antropológica,1
ecuatoriana,1
vjesn,1
archaeologyafrarchaeol,1
ecuator,1
muzejazagrebu,1
arheoloskog,1
vjesnik,1
religion,1
nculosnculos,1
hramad,1
hramadskikh,1
seryya,1
hamburg,1
mem,1
memoirs,1
ne,1
ethnohistorische,1
markets,1
traders,1
wienlkerk,1
mkts,1
wienerlkerkundliche,1
tradersasia,1
bl,1
materialnaya,1
blætter,1
tadzhikistana,1
cracow,1
papuan,1
materialyprace,1
antropologiczne,1
wiener,1
materialyantropologii,1
kavkaza,1
kavk,1
wiad,1
etnografii,1
wiadomosci,1
issuespapuan,1
mexican,1
nw,1
museumsr,1
comitatensia,1
economic,1
econ,1
istorie,1
melanesia,1
melanes,1
indonesian,1
antropologie,1
malayan,1
affairs,1
malay,1
aff,1
speleol,1
speleology,1
chilena,1
popular,1
colombiana,1
colomb,1
cubana,1
cuban,1
antropology,1
comitat,1
